indentation	style_name	style_description
;;;;	Zhabdro gorgom 	Lively, rhythmic and informal Bhutanese folk music of Tibetan origin.
;;;	Turkmen Music 	Music of the Turkmen people.
;;;	Uyghur Music 	Music of the Uyghur people native to Xinjiang in western China.
;;;;	Bayawan 	Distinct muqam tradition of the Dolan subgroup of the Uyghur people, often considered the wildest of the regional muqam variations.
;;;;	Twelve Muqam 	Uyghur muqam suite of 12 different muqam performances, originating in Southern Xinjiang.
;;;	Uzbek Music 	Music of the Uzbek people.
;;	East Asian Music 	Covers the different forms of music with origins in Japan, Korea, China, Taiwan, and Vietnam.
;;;	Ainu Music 	Music of the Ainu people from Hokkaidō, the Kuril Islands, and part of Sakhalin.
;;;;	Upopo 	Ainu everyday traditional song (as opposed to Yukar's sacred leanings).
;;;;	Yukar 	Oral literature pertaining to Ainu culture and mythology.
;;;	Chinese Music 	Music of the Chinese people, which is primarily derived from the culture of the Han Chinese.
;;;;	Ancient Chinese Music 	Covers a very large era of creation from approximately 2100 BCE to 200 CE.
;;;;	Campus Folk 	Born in Taiwan in the mid-1970s, this movement originated with university students creating their own modern-style songs in the wake of international tensions like Taiwan's isolation from the United Nations and the United States' embrace of the PRC as a diplomatic partner.
;;;;	Chinese Classical Music 	Classical Music of China, encompassing royal court music.
;;;;;	Baisha xiyue 	Mainly performed for funeral ceremonies of the Naxi ethnic group in the Yunnan province in China.
;;;;;	Chinese Literati Music 	Music of the Chinese literati; primarily played on the guqin and invoking emotional restraint, self-cultivation, and introspection.
;;;;;	Dongjing 	Chinese Taoist ritual music from the Nakhi (Naxi) people, historically performed around Yunnan and Sichuan.
;;;;;	Nanyin 	Long-lasting tradition originating from southern Fujian; known for its delicate aesthetic, slow tempo, ancient repertoire and distinctive instrumentation.
;;;;;	Yayue 	Incorporates folk and religious traditions of Chinese Music; literally translated as 'elegant music'.
;;;;	Chinese Folk Music 	Traditional folk of the Chinese people.
;;;;;	Chaozhou xianshi 	Traditional and instrumental ensemble music originating from Chaozhou; played mainly on stringed instruments.
;;;;;	Han Folk Music 	Chinese folk form often played at weddings and funerals, using the Suona (a form of oboe) and Chuigushou (a specific type of percussive ensemble), together with heterophony.
;;;;;	Jiangnan sizhu 	Originating from Jiangnan region and played by a varying ensemble of stringed instruments, flutes, mouth organs and small percussions.
;;;;;	Shan'ge 	Folk songs found in upland regions of China, typically sung while working.
;;;;	Chinese Opera 	Traditional Chinese theatre, existing in several regional variations, combining traditional instruments and vocals along with other art forms like Poetry, dance, acrobatics, and martial arts.
;;;;;	Cantonese Opera 	Chinese Opera that are sung in Cantonese.
;;;;;	Henan Opera 	Originated in the central Chinese province of Henan, known for its fast-paced, easy to understand dialogue, high pitched singing and strong rhythm.
;;;;;	Kunqu Opera 	Old and influential style originating from Kunshan; known for its delicate symbolic gestures, graceful singing, and literary repertoire.
;;;;;	Peking Opera 	Distinguishable from most types of Chinese opera by its instrumentation, 2 distinct types of melodies, and alternative Chinese pronunciation.
;;;;;;	Korean Revolutionary Opera 	Heavily influenced by Chinese Revolutionary Opera and supported by the North Korean government.
;;;;;;	Revolutionary Opera 	Popular during China's Cultural Revolution and upholds China's working class and the People's Liberation Army as the forces that brought socialism to China.
;;;;;	Shaoxing Opera 	Exclusively performed by women in modern times with a focus on lyricism.
;;;;;	Yangzhou Opera 	Originated in Yangzhou, and popular in some parts of Jiangsu and Anhui province, as well as Shanghai.
;;;;	Minyue 	Modernized composition for Chinese instruments on the basis of Chinese Folk Music, incorporating aspects of Western Classical Music.
;;;;	Quyi 	Category of traditional Chinese storytelling, featuring a narrative structure and a combination of speaking and singing.
;;;;	Shidaiqu 	Fusion of Chinese popular music and Jazz that began in the 1920s in Shanghai.
;;;;	Sizhu Music 	Traditional string and wind instrument based chamber music ensembles, prevalent in Southern China.
;;;;;	Chaozhou xianshi 	Traditional and instrumental ensemble music originating from Chaozhou; played mainly on stringed instruments.
;;;;;	Guangdong yinyue 	Cantonese instrumental ensemble music played on varying stringed instruments, woodwinds and percussions; known for its bright tone, flowing melodies, and lively rhythms.
;;;;	Xinyao 	Singaporean Mandarin-language style, generally featuring harmonised group vocals and backed mainly by acoustic guitar.
;;;;	Zhongguo feng 	Inspired by traditional elements of Chinese Music with lyrical themes constantly revolving around Chinese culture and tales.
;;;	East Asian Classical Music 	Covers all the forms of pan-East Asian Classical Music sharing origins in Chinese Classical Music.
;;;;	Chinese Classical Music 	Classical Music of China, encompassing royal court music.
;;;;;	Baisha xiyue 	Mainly performed for funeral ceremonies of the Naxi ethnic group in the Yunnan province in China.
;;;;;	Chinese Literati Music 	Music of the Chinese literati; primarily played on the guqin and invoking emotional restraint, self-cultivation, and introspection.
;;;;;	Dongjing 	Chinese Taoist ritual music from the Nakhi (Naxi) people, historically performed around Yunnan and Sichuan.
;;;;;	Nanyin 	Long-lasting tradition originating from southern Fujian; known for its delicate aesthetic, slow tempo, ancient repertoire and distinctive instrumentation.
;;;;;	Yayue 	Incorporates folk and religious traditions of Chinese Music; literally translated as 'elegant music'.
;;;;	Japanese Classical Music 	Classical music of Japan.
;;;;;	Gagaku 	One of the oldest forms of Japanese Classical Music, based on the pentatonic Yo scale, characterized by an elegant sound that is typically solemn, slow-paced, and resonant.
;;;;;	Heikyoku 	Semi-classical bardic tradition in Japan analogous to the troubadour music of medieval Europe.
;;;;;	Honkyoku 	Japanese Classical Music performed solo on a bamboo flute shakuhachi.
;;;;;	Jiuta 	Originally created by solo performers singing and playing shamisen, but since the late 18th century increasingly often performed by sankyoku ensembles (shamisen, koto and shakuhachi or kokyu).
;;;;;	Jōruri 	Consists of a singing narrator (tayū) with shamisen accompaniment.
;;;;;	Meiji shinkyoku 	Meiji-era compositions, using a distinctive, brighter scale, usually performed with two kotos.
;;;;;	Nagauta 	Japanese Classical Music used in Kabuki, a form of theatre oriented to dance-drama.
;;;;;	Noh 	Played by an hayashi ensemble, consisting of a fue (flute), a kotsuzumi (shoulder drum), a ōtsuzumi (hip drum), and a taiko (stick drum).
;;;;;	Shōmyō 	Japanese Buddhist chant that utilizes the yō scale.
;;;;;	Sōkyoku 	Gained popularity during the Edo period, played with a koto or a guzheng and sometimes accompanied by shamisen and/or shakuhachi.
;;;;;;	Danmono 	Sōkyoku composed for koto, a thirteen-string traditional instrument.
;;;;;;	Kumiuta 	Typically performed by a single singer playing koto or less often shamisen for accompaniment, often with lyrics adapted from classical poetry.
;;;;	Korean Classical Music 	Classical Music of Korea.
;;;;;	Aak 	Korean Classical Music that dates back to the early 12th century.
;;;;;	Dang-ak 	Korean Classical Music that dates back to the Later Silla period of 668–935.
;;;;;	Hyang-ak 	One of the most common and oldest surviving forms of Korean court music.
;;;;;	Jeong-ak 	Also known as proper music; dates back to the Later Silla period of 668–935.
;;;;;;	Gagok 	Vocal songs derived from Korean Classical Music backed by a small orchestra of Jeong-ak ("aristocratic or proper music").
;;;;	Vietnamese Court Music 	Traditional court music of Vietnam, specifically that of the Nguyễn dynasty.
;;;;;	Vietnamese Opera 	Classical musical theatre and its associated form of Vietnamese Court Music, related strongly to Chinese Opera.
;;;	East Asian Folk Music 	All the forms of Traditional Folk Music from East Asia, including Japanese Folk Music, Chinese Folk Music, and Korean Folk Music.
;;;;	Amami shimauta 	Tradition from the Amami Islands, located in southern Japan.
;;;;	Chinese Folk Music 	Traditional folk of the Chinese people.
;;;;;	Chaozhou xianshi 	Traditional and instrumental ensemble music originating from Chaozhou; played mainly on stringed instruments.
;;;;;	Han Folk Music 	Chinese folk form often played at weddings and funerals, using the Suona (a form of oboe) and Chuigushou (a specific type of percussive ensemble), together with heterophony.
;;;;;	Jiangnan sizhu 	Originating from Jiangnan region and played by a varying ensemble of stringed instruments, flutes, mouth organs and small percussions.
;;;;;	Shan'ge 	Folk songs found in upland regions of China, typically sung while working.
;;;;	Indigenous Taiwanese Music 	Traditional Folk Music of the various Austronesian people groups that make up the indigenous population of the island of Taiwan.
;;;;	Japanese Folk Music 	Folk traditions of Japan.
;;;;;	Heikyoku 	Semi-classical bardic tradition in Japan analogous to the troubadour music of medieval Europe.
;;;;;	Kagura 	Performed at Shinto shrines for ceremonies and rituals.
;;;;;	Kouta 	Kouta, which literally means "little" or "short" song, is one type of the many varieties of Japanese folk songs that is distinguished by its briefness and wittiness.
;;;;;	Min'yō 	Form of Japanese Folk Music which literally translates to "folk song".
;;;;;	Ondō 	Originally referred to the type of call-and-response form of Gagaku, but later became to be known for and distinguished by a swung 2/2 rhythm and storytelling.
;;;;;	Rōkyoku 	Storytelling usually accompanied by a shamisen.
;;;;;	Taiko 	Modern style of ensemble drumming, sometimes called kumi-daiko.
;;;;;	Tsugaru shamisen 	Shamisen playing originating in the Tsugaru Peninsula of Aomori prefecture, recognizable in its percussive quality and special, slightly larger instrument.
;;;;	Korean Folk Music 	Traditional Folk Music of the Korean people.
;;;;;	Pansori 	Korean style of storytelling characterized by over-the-top, passionate singing from a solo vocalist accompanied by minimal drumming.
;;;;;	Pungmul 	Consists of drumming, dancing, and singing, and is a tradition deeply ingrained in South Korean culture.
;;;;;	Sanjo 	Traditional instrumental Korean Folk Music that focuses on a wide variety of rhythmic changes with many different classical Korean instruments.
;;;;;	Sinawi 	Improvisational genre traditionally serving as an accompaniment to Korean shamanic rituals.
;;;;	Vietnamese Folk Music 	Traditional Folk Music of the Vietnamese people, with traditions influenced by both Chinese Music and Austronesian culture through the Cham people.
